oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Mediana wieku ludności według płci|ogółem
345,060611205000,janowski,875.0,2022,0605,powiat,06,lubelskie,43.5
88,060611211000,łukowski,1394.0,2022,0611,powiat,06,lubelskie,40.3
89,060611212000,opolski,811.0,2022,0612,powiat,06,lubelskie,43.5
347,060611216000,rycki,614.0,2022,0616,powiat,06,lubelskie,43.2
348,061813302000,brzozowski,539.0,2022,1802,powiat,18,podkarpackie,41.2
92,061813305000,jasielski,831.0,2022,1805,powiat,18,podkarpackie,42.9
93,061813307000,krośnieński,992.0,2022,1807,powiat,18,podkarpackie,41.9
349,061813317000,sanocki,1156.0,2022,1817,powiat,18,podkarpackie,43.2
350,061813321000,leski,835.0,2022,1821,powiat,18,podkarpackie,43.7
352,061813409000,lubaczowski,1308.0,2022,1809,powiat,18,podkarpackie,42.9
95,061813413000,przemyski,1211.0,2022,1813,powiat,18,podkarpackie,41.2
96,061813414000,przeworski,698.0,2022,1814,powiat,18,podkarpackie,41.4
354,061813506000,kolbuszowski,773.0,2022,1806,powiat,18,podkarpackie,40.6
355,061813510000,łańcucki,452.0,2022,1810,powiat,18,podkarpackie,40.3
356,061813515000,ropczycko-sędziszowski,548.0,2022,1815,powiat,18,podkarpackie,39.6
97,061813516000,rzeszowski,1145.0,2022,1816,powiat,18,podkarpackie,39.6
357,061813519000,strzyżowski,503.0,2022,1819,powiat,18,podkarpackie,41.9
185,071427062000,Płock,88.0,2022,1462,miasto na prawach powiatu,14,mazowieckie,44.8
119,071427103000,garwoliński,1285.0,2022,1403,powiat,14,mazowieckie,39.5
181,061813563000,Rzeszów,129.0,2022,1863,miasto na prawach powiatu,18,podkarpackie,39.8
98,061813603000,dębicki,777.0,2022,1803,powiat,18,podkarpackie,40.9
122,071427164000,Siedlce,32.0,2022,1464,miasto na prawach powiatu,14,mazowieckie,41.6
358,061813611000,mielecki,881.0,2022,1811,powiat,18,podkarpackie,41.4
99,061813612000,niżański,786.0,2022,1812,powiat,18,podkarpackie,42.2
100,061813618000,stalowowolski,832.0,2022,1818,powiat,18,podkarpackie,43.9
359,061813620000,tarnobrzeski,521.0,2022,1820,powiat,18,podkarpackie,42.9
361,062013909000,sejneński,855.0,2022,2009,powiat,20,podlaskie,44.4
102,062013912000,suwalski,1307.0,2022,2012,powiat,20,podlaskie,40.7
363,071412865000,Warszawa,517.0,2022,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,40.7
364,071412908000,legionowski,391.0,2022,1408,powiat,14,mazowieckie,41.4
103,071412912000,miński,1164.0,2022,1412,powiat,14,mazowieckie,40.7
365,071412917000,otwocki,616.0,2022,1417,powiat,14,mazowieckie,42.8
104,071412934000,wołomiński,954.0,2022,1434,powiat,14,mazowieckie,39.0
366,071413005000,grodziski,367.0,2022,1405,powiat,14,mazowieckie,41.1
367,071413014000,nowodworski,695.0,2022,1414,powiat,14,mazowieckie,42.1
368,071413018000,piaseczyński,621.0,2022,1418,powiat,14,mazowieckie,40.5
369,071413021000,pruszkowski,246.0,2022,1421,powiat,14,mazowieckie,41.9
105,071413032000,warszawski zachodni,534.0,2022,1432,powiat,14,mazowieckie,41.3
106,071422502000,ciechanowski,1060.0,2022,1402,powiat,14,mazowieckie,42.7
107,071422513000,mławski,1182.0,2022,1413,powiat,14,mazowieckie,41.6
108,071422520000,płoński,1380.0,2022,1420,powiat,14,mazowieckie,42.5
370,071422524000,pułtuski,827.0,2022,1424,powiat,14,mazowieckie,41.5
371,071422701000,białobrzeski,639.0,2022,1401,powiat,14,mazowieckie,40.4
373,071422709000,lipski,740.0,2022,1409,powiat,14,mazowieckie,44.7
115,071422723000,przysuski,801.0,2022,1423,powiat,14,mazowieckie,43.3
116,071422725000,radomski,1530.0,2022,1425,powiat,14,mazowieckie,40.2
374,071422730000,szydłowiecki,452.0,2022,1430,powiat,14,mazowieckie,41.9
375,071422736000,zwoleński,573.0,2022,1436,powiat,14,mazowieckie,41.8
376,071427027000,sierpecki,852.0,2022,1427,powiat,14,mazowieckie,42.4
377,071427110000,łosicki,772.0,2022,1410,powiat,14,mazowieckie,42.7
120,071427129000,sokołowski,1131.0,2022,1429,powiat,14,mazowieckie,43.6
121,071427133000,węgrowski,1220.0,2022,1433,powiat,14,mazowieckie,42.3
379,071427328000,sochaczewski,735.0,2022,1428,powiat,14,mazowieckie,42.1
380,071427338000,żyrardowski,532.0,2022,1438,powiat,14,mazowieckie,42.7
