oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Stopa bezrobocia rejestrowanego|ogółem
345,060611205000,janowski,875.0,2022,0605,powiat,06,lubelskie,12.3
88,060611211000,łukowski,1394.0,2022,0611,powiat,06,lubelskie,4.2
89,060611212000,opolski,811.0,2022,0612,powiat,06,lubelskie,9.4
347,060611216000,rycki,614.0,2022,0616,powiat,06,lubelskie,7.2
348,061813302000,brzozowski,539.0,2022,1802,powiat,18,podkarpackie,21.5
92,061813305000,jasielski,831.0,2022,1805,powiat,18,podkarpackie,12.7
93,061813307000,krośnieński,992.0,2022,1807,powiat,18,podkarpackie,7.5
349,061813317000,sanocki,1156.0,2022,1817,powiat,18,podkarpackie,7.8
350,061813321000,leski,835.0,2022,1821,powiat,18,podkarpackie,19.0
352,061813409000,lubaczowski,1308.0,2022,1809,powiat,18,podkarpackie,10.4
95,061813413000,przemyski,1211.0,2022,1813,powiat,18,podkarpackie,16.0
96,061813414000,przeworski,698.0,2022,1814,powiat,18,podkarpackie,14.4
354,061813506000,kolbuszowski,773.0,2022,1806,powiat,18,podkarpackie,7.9
355,061813510000,łańcucki,452.0,2022,1810,powiat,18,podkarpackie,9.8
356,061813515000,ropczycko-sędziszowski,548.0,2022,1815,powiat,18,podkarpackie,11.1
97,061813516000,rzeszowski,1145.0,2022,1816,powiat,18,podkarpackie,8.0
357,061813519000,strzyżowski,503.0,2022,1819,powiat,18,podkarpackie,17.7
185,071427062000,Płock,88.0,2022,1462,miasto na prawach powiatu,14,mazowieckie,6.0
119,071427103000,garwoliński,1285.0,2022,1403,powiat,14,mazowieckie,9.9
181,061813563000,Rzeszów,129.0,2022,1863,miasto na prawach powiatu,18,podkarpackie,4.4
98,061813603000,dębicki,777.0,2022,1803,powiat,18,podkarpackie,4.7
122,071427164000,Siedlce,32.0,2022,1464,miasto na prawach powiatu,14,mazowieckie,4.0
358,061813611000,mielecki,881.0,2022,1811,powiat,18,podkarpackie,4.4
99,061813612000,niżański,786.0,2022,1812,powiat,18,podkarpackie,16.6
100,061813618000,stalowowolski,832.0,2022,1818,powiat,18,podkarpackie,4.5
359,061813620000,tarnobrzeski,521.0,2022,1820,powiat,18,podkarpackie,7.5
361,062013909000,sejneński,855.0,2022,2009,powiat,20,podlaskie,9.8
102,062013912000,suwalski,1307.0,2022,2012,powiat,20,podlaskie,5.0
363,071412865000,Warszawa,517.0,2022,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,1.5
364,071412908000,legionowski,391.0,2022,1408,powiat,14,mazowieckie,5.5
103,071412912000,miński,1164.0,2022,1412,powiat,14,mazowieckie,4.4
365,071412917000,otwocki,616.0,2022,1417,powiat,14,mazowieckie,3.4
104,071412934000,wołomiński,954.0,2022,1434,powiat,14,mazowieckie,6.5
366,071413005000,grodziski,367.0,2022,1405,powiat,14,mazowieckie,2.7
367,071413014000,nowodworski,695.0,2022,1414,powiat,14,mazowieckie,5.9
368,071413018000,piaseczyński,621.0,2022,1418,powiat,14,mazowieckie,3.4
369,071413021000,pruszkowski,246.0,2022,1421,powiat,14,mazowieckie,2.2
105,071413032000,warszawski zachodni,534.0,2022,1432,powiat,14,mazowieckie,1.6
106,071422502000,ciechanowski,1060.0,2022,1402,powiat,14,mazowieckie,8.3
107,071422513000,mławski,1182.0,2022,1413,powiat,14,mazowieckie,5.7
108,071422520000,płoński,1380.0,2022,1420,powiat,14,mazowieckie,10.3
370,071422524000,pułtuski,827.0,2022,1424,powiat,14,mazowieckie,14.1
371,071422701000,białobrzeski,639.0,2022,1401,powiat,14,mazowieckie,7.7
373,071422709000,lipski,740.0,2022,1409,powiat,14,mazowieckie,12.7
115,071422723000,przysuski,801.0,2022,1423,powiat,14,mazowieckie,19.7
116,071422725000,radomski,1530.0,2022,1425,powiat,14,mazowieckie,16.4
374,071422730000,szydłowiecki,452.0,2022,1430,powiat,14,mazowieckie,24.6
375,071422736000,zwoleński,573.0,2022,1436,powiat,14,mazowieckie,13.0
376,071427027000,sierpecki,852.0,2022,1427,powiat,14,mazowieckie,11.5
377,071427110000,łosicki,772.0,2022,1410,powiat,14,mazowieckie,5.2
120,071427129000,sokołowski,1131.0,2022,1429,powiat,14,mazowieckie,5.6
121,071427133000,węgrowski,1220.0,2022,1433,powiat,14,mazowieckie,5.7
379,071427328000,sochaczewski,735.0,2022,1428,powiat,14,mazowieckie,3.0
380,071427338000,żyrardowski,532.0,2022,1438,powiat,14,mazowieckie,8.5
